act,section,description
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",32,"Except murder, and offences against the State punishable with death, nothing is an offence which is done by a person who is compelled to do it by threats, which, at the time of doing it, reasonably cause the apprehension that instant death to that person will otherwise be the consequence: Provided that the person doing the act did not of his own accord, or from a reasonable apprehension of harm to himself short of instant death, place himself in the situation by which he became subject to such constraint."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",320,"Whoever dishonestly or fraudulently removes, conceals or delivers to any person, or transfers or causes to be transferred to any person, without adequate consideration, any property, intending thereby to prevent, or knowing it to be likely that he will thereby prevent, the distribution of that property according to law among his creditors or the creditors of any other person, shall be punished with imprisonment of either description for a term which shall not be less than six months but which may extend to two years, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",321,"Whoever dishonestly or fraudulently prevents any debt or demand due to himself or to any other person from being made available according to law for payment of his debts or the debts of such other person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",322,"Whoever dishonestly or fraudulently signs, executes or becomes a party to any deed or instrument which purports to transfer or subject to any charge any property, or any interest therein, and which contains any false statement relating to the consideration for such transfer or charge, or relating to the person or persons for whose use or benefit it is really intended to operate, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",323,"Whoever dishonestly or fraudulently conceals or removes any property of himself or any other person, or dishonestly or fraudulently assists in the concealment or removal thereof, or dishonestly releases any demand or claim to which he is entitled, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",324,Mischief.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",324(1),"Whoever with intent to cause, or knowing that he is likely to cause, wrongful loss or damage to the public or to any person, causes the destruction of any property, or any such change in any property or in the situation thereof as destroys or diminishes its value or utility, or affects it injuriously, commits mischief."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",324(2),"Whoever commits mischief shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",324(3),"Whoever commits mischief and thereby causes loss or damage to any property including the property of Government or Local Authority shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",324(4),"Whoever commits mischief and thereby causes loss or damage to the amount of twenty thousand rupees and more but less than one lakh rupees shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",324(5),"Whoever commits mischief and thereby causes loss or damage to the amount of one lakh rupees or upwards, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",324(6),"Whoever commits mischief, having made preparation for causing to any person death, or hurt, or wrongful restraint, or fear of death, or of hurt, or of wrongful restraint, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",325,"Whoever commits mischief by killing, poisoning, maiming or rendering useless any animal shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",326,"Mischief by injury, inundation, fire or explosive substance, etc"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",326(a),"doing any act which causes, or which he knows to be likely to cause, a diminution of the supply of water for agricultural purposes, or for food or drink for human beings or for animals which are property, or for cleanliness or for carrying on any manufacture, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",326(b),"doing any act which renders or which he knows to be likely to render any public road, bridge, navigable river or navigable channel, natural or artificial, impassable or less safe for travelling or conveying property, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both;"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",326(c),"doing any act which causes or which he knows to be likely to cause an inundation or an obstruction to any public drainage attended with injury or damage, shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both;"
